Longitude,Latitude,EC1,EC2,Elevation
-96.498336,41.166859,33.3,48.9,356.7
-96.498337,41.166818,32.3,49.1,356.7
-96.498339,41.166776,27.2,41.6,356.7
-96.49834,41.166734,31.3,48.2,356.7
-96.49834,41.166693,33.3,47.5,356.7
-96.49834,41.16665,31.4,43.6,356.8
-96.498341,41.166608,27.9,44.5,356.8
-96.498342,41.166566,29.5,43.8,356.8
-96.498343,41.166523,31.3,52.8,356.8
-96.498343,41.16648,28.3,44.4,356.8
-96.498344,41.166438,33.1,48.7,356.8
-96.498344,41.166395,30.8,46.7,356.8
-96.498345,41.166352,33.5,44.3,356.8
-96.498346,41.166309,32.6,52.5,356.8
-96.498347,41.166267,34.2,55.2,356.8
-96.498348,41.166225,35.4,58.0,356.8
-96.498348,41.166182,37.2,56.9,356.8
-96.498348,41.16614,41.5,60.3,356.8
-96.498348,41.166097,31.7,45.9,356.8
-96.498349,41.166055,32.5,48.0,356.8
-96.498349,41.166013,30.7,48.0,356.8
-96.498349,41.16597,25.3,37.8,356.8
-96.498349,41.165926,28.8,44.4,356.8
-96.498349,41.165883,25.9,40.3,356.8
-96.498349,41.165841,27.1,40.4,356.8
-96.498349,41.165799,22.5,35.4,356.8
-96.498349,41.165756,21.7,34.4,356.8
-96.498349,41.165714,22.1,34.2,356.8
-96.498349,41.165671,22.4,30.5,356.8
-96.49835,41.165629,22.8,27.0,356.8
-96.498352,41.165587,19.8,24.6,356.8
-96.498354,41.165545,18.5,21.9,356.8
-96.498354,41.165502,17.2,21.1,356.8
-96.498355,41.16546,15.5,17.9,356.8
-96.498355,41.165418,14.3,17.7,356.8
-96.498355,41.165375,17.1,18.6,356.8
-96.498355,41.165334,18.8,22.1,356.8
-96.498355,41.165291,16.8,21.0,356.8
-96.498356,41.165249,16.4,18.9,356.8
-96.498357,41.165207,17.8,17.4,356.8
-96.498359,41.165169,17.6,14.2,356.8
-96.498359,41.165137,14.2,11.7,356.8
-96.498359,41.165111,14.1,12.6,356.8
-96.49836,41.165086,15.6,14.1,356.8
-96.498359,41.165064,12.2,11.0,356.8
-96.498358,41.165045,12.9,12.0,356.8
-96.498352,41.165029,13.2,12.1,356.8
-96.49834,41.165015,10.2,11.1,356.8
-96.498325,41.165005,8.3,9.0,356.8
-96.498306,41.165,9.3,9.0,356.8
-96.498287,41.164999,7.1,10.3,356.8
-96.498269,41.164997,6.1,10.4,356.8
-96.498253,41.164998,6.6,11.2,356.8
-96.498238,41.165003,9.9,11.6,356.8
-96.498227,41.165012,12.6,12.8,356.8
-96.498222,41.165022,13.5,12.6,356.8
-96.498223,41.165029,13.2,12.5,356.8
-96.498226,41.16504,11.2,12.3,356.8
-96.498226,41.165061,11.9,10.7,356.8
-96.498227,41.165092,12.2,10.1,356.8
-96.498228,41.165131,11.8,11.6,356.8
-96.498229,41.165173,13.3,12.6,356.8
-96.498229,41.165216,14.8,15.2,356.8
-96.498228,41.165257,17.5,19.8,356.8
