Longitude,Latitude,EC1,EC2,Elevation
-120.040017,34.690676,31.4,34.6,327.905
-120.039957,34.690654,23.5,25.5,327.765
-120.039957,34.690661,22.2,25.4,327.735
-120.039958,34.690669,13.5,24.8,327.74
-120.039958,34.690678,16.5,27.9,327.735
-120.039957,34.690688,30.3,34.3,327.72
-120.039957,34.6907,49.2,52.5,327.725
-120.039958,34.690713,39.3,62.5,327.79
-120.039958,34.690726,35.4,60.3,327.845
-120.039959,34.690739,44.9,53.2,327.865
-120.039959,34.690752,42.1,55.0,327.915
-120.039959,34.690765,38.4,50.8,327.95
-120.039959,34.690778,44.7,48.4,327.965
-120.039959,34.690791,51.3,61.4,328.0
-120.039959,34.690804,40.6,53.2,328.04
-120.03996,34.690817,38.5,46.7,328.09
-120.03996,34.69083,41.2,51.7,328.14
-120.039961,34.690844,35.4,42.3,328.145
-120.039962,34.690857,42.4,52.6,328.11
-120.039963,34.69087,45.4,50.5,328.105
-120.039963,34.690883,41.1,52.3,328.14
-120.039962,34.690897,42.6,52.7,328.165
-120.039961,34.69091,35.8,46.4,328.16
-120.03996,34.690923,34.7,42.3,328.14
-120.03996,34.690936,29.8,38.1,328.15
-120.039961,34.690948,28.1,42.1,328.16
-120.039962,34.690958,23.3,38.3,328.125
-120.039962,34.690966,20.7,28.1,328.125
-120.039964,34.690975,19.1,23.5,328.17
-120.039967,34.690984,16.8,29.3,328.22
-120.039968,34.690994,16.2,31.1,328.275
-120.039967,34.691004,19.0,36.2,328.33
-120.039967,34.691013,12.8,28.8,328.395
-120.039967,34.691024,23.4,39.3,328.465
-120.039965,34.691035,22.8,48.1,328.52
-120.039965,34.691047,44.3,57.4,328.53
-120.039967,34.691059,47.0,58.8,328.515
-120.039967,34.691072,44.3,57.4,328.5
-120.039967,34.691086,34.7,52.9,328.475
-120.039968,34.691099,33.2,56.3,328.44
-120.039969,34.691113,41.4,70.4,328.41
-120.039969,34.691126,45.5,70.6,328.405
-120.039969,34.69114,48.4,67.4,328.42
-120.03997,34.691154,51.8,69.7,328.44
-120.039971,34.691169,49.9,65.8,328.455
-120.03997,34.691183,48.4,68.9,328.465
-120.039969,34.691197,50.6,62.2,328.48
-120.039969,34.691212,51.4,70.6,328.47
-120.039969,34.691227,56.3,79.6,328.43
-120.03997,34.691242,55.3,85.9,328.435
-120.039971,34.691256,54.5,77.8,328.465
-120.039971,34.691271,51.0,66.1,328.47
-120.039973,34.691286,56.3,68.7,328.49
-120.039974,34.6913,53.7,65.2,328.52
-120.039974,34.691315,46.2,67.6,328.555
-120.039973,34.69133,46.3,62.6,328.605
-120.039973,34.691345,52.4,54.8,328.62
-120.039974,34.69136,47.3,55.2,328.61
-120.039975,34.691374,46.9,58.3,328.64
-120.039975,34.691389,49.5,59.2,328.675
-120.039975,34.691404,42.8,53.5,328.69
-120.039975,34.691418,43.1,62.5,328.715
-120.039975,34.691433,43.0,59.9,328.735
-120.039975,34.691448,31.7,39.3,328.765
-120.039975,34.691463,39.3,50.9,328.805
-120.039976,34.691478,36.5,47.4,328.825
