Longitude,Latitude,EC1,EC2,Elevation
-120.670309,35.297652,62.8,38.7,81.61
-120.670296,35.297667,60.0,39.2,81.685
-120.670282,35.297682,54.1,39.4,81.775
-120.670269,35.297698,65.5,48.1,81.885
-120.670256,35.297713,69.7,59.2,81.96
-120.670242,35.297728,65.1,60.0,81.965
-120.670229,35.297744,75.3,62.5,81.99
-120.670217,35.29776,71.9,62.2,82.01
-120.670205,35.297776,68.3,54.8,82.05
-120.670191,35.297791,69.2,52.6,82.15
-120.670177,35.297808,66.3,55.5,82.205
-120.670166,35.297825,58.0,50.2,82.215
-120.670154,35.297842,60.1,44.6,82.265
-120.670142,35.297858,69.5,49.3,82.37
-120.670129,35.297874,80.6,58.6,82.51
-120.670116,35.29789,73.1,61.5,82.67
-120.670104,35.297906,73.1,62.6,82.795
-120.670091,35.297922,70.0,51.3,82.85
-120.670079,35.297938,73.3,52.5,82.875
-120.670066,35.297955,66.9,46.0,82.87
-120.670054,35.297971,53.5,27.5,82.885
-120.670042,35.297987,51.6,26.4,82.915
-120.67003,35.298004,62.5,33.0,82.885
-120.670017,35.29802,73.8,62.4,82.83
-120.670004,35.298036,72.5,71.3,82.74
-120.669992,35.298054,81.4,64.8,82.72
-120.669981,35.298071,86.1,61.4,82.82
-120.669971,35.298088,74.5,62.8,82.895
-120.669961,35.298106,79.1,70.0,82.895
-120.66995,35.298124,70.3,58.6,82.905
-120.669939,35.29814,66.7,69.2,82.99
-120.669928,35.298156,68.5,60.7,83.03
-120.669916,35.29817,75.3,64.0,83.025
-120.669902,35.298185,75.3,56.4,83.02
-120.669889,35.298201,73.4,50.8,82.91
-120.669877,35.298217,75.6,49.7,82.81
-120.669865,35.298233,72.1,54.9,82.835
-120.669852,35.298247,71.4,52.3,82.91
-120.669839,35.298261,68.3,40.3,82.98
-120.669826,35.298276,64.2,30.3,83.02
-120.669815,35.298291,50.6,24.0,83.115
-120.669804,35.298306,46.4,20.8,83.4
-120.669794,35.298321,50.7,21.1,83.74
-120.669782,35.298336,64.7,28.8,83.86
-120.669769,35.298352,70.3,43.4,83.85
-120.669757,35.298369,67.0,36.5,83.765
-120.669746,35.298385,57.9,34.2,83.63
-120.669734,35.298401,75.6,46.3,83.545
-120.669722,35.298417,76.1,48.2,83.43
-120.66971,35.298431,85.8,38.7,83.395
-120.6697,35.298443,82.1,45.1,83.585
-120.669691,35.298456,71.6,33.8,83.915
-120.669718,35.298537,115.0,53.9,84.355
-120.669731,35.298531,106.6,48.8,84.305
-120.669743,35.298523,84.7,36.9,84.345
-120.669754,35.298511,73.6,30.6,84.47
-120.669763,35.298497,68.2,30.0,84.505
-120.669773,35.298483,74.9,32.8,84.6
-120.669785,35.298468,89.4,46.3,84.715
-120.669797,35.298451,88.5,43.9,84.68
-120.669809,35.298434,85.7,42.2,84.625
-120.669822,35.298416,87.4,44.1,84.505
-120.669834,35.298399,95.1,49.1,84.325
-120.669847,35.298382,95.3,47.9,84.185
-120.669862,35.298365,98.0,41.1,84.14
