-96.498353000, 41.168559000, 24.8, 21.9, 356.7
-96.498336000, 41.168540000, 24.5, 20.7, 356.7
-96.498323000, 41.168518000, 24.6, 21.1, 356.7
-96.498319000, 41.168490000, 25.8, 23.5, 356.7
-96.498319000, 41.168455000, 24.7, 21.0, 356.7
-96.498319000, 41.168416000, 20.1, 17.6, 356.7
-96.498318000, 41.168377000, 20.5, 19.1, 356.7
-96.498317000, 41.168337000, 23.6, 19.7, 356.7
-96.498318000, 41.168297000, 21.6, 19.0, 356.7
-96.498319000, 41.168250000, 19.0, 14.0, 356.7
-96.498321000, 41.168204000, 19.5, 11.8, 356.7
-96.498322000, 41.168163000, 22.1, 13.2, 356.7
-96.498322000, 41.168121000, 18.6, 12.0, 356.7
-96.498323000, 41.168079000, 18.8, 12.2, 356.7
-96.498324000, 41.168037000, 16.7, 12.0, 356.7
-96.498323000, 41.167994000, 17.2, 12.1, 356.7
-96.498322000, 41.167951000, 17.8, 13.3, 356.7
-96.498322000, 41.167909000, 16.6, 12.3, 356.7
-96.498322000, 41.167867000, 19.0, 17.0, 356.7
-96.498323000, 41.167825000, 19.8, 18.2, 356.7
-96.498324000, 41.167784000, 19.7, 16.6, 356.7
-96.498324000, 41.167742000, 19.1, 15.7, 356.7
-96.498324000, 41.167699000, 16.8, 11.8, 356.7
-96.498325000, 41.167657000, 15.2, 9.8, 356.7
-96.498325000, 41.167615000, 16.1, 11.3, 356.7
-96.498325000, 41.167572000, 15.2, 11.0, 356.7
-96.498326000, 41.167530000, 15.7, 12.2, 356.7
-96.498326000, 41.167488000, 21.2, 18.8, 356.7
-96.498327000, 41.167446000, 21.8, 20.0, 356.7
-96.498327000, 41.167404000, 20.1, 19.5, 356.7
-96.498328000, 41.167362000, 18.3, 18.3, 356.7
-96.498328000, 41.167319000, 18.0, 16.7, 356.7
-96.498328000, 41.167277000, 18.2, 18.5, 356.7
-96.498327000, 41.167235000, 18.0, 18.5, 356.7
-96.498327000, 41.167193000, 18.5, 21.8, 356.7
-96.498328000, 41.167152000, 19.6, 24.4, 356.7
-96.498328000, 41.167111000, 21.7, 29.1, 356.7
-96.498329000, 41.167069000, 25.6, 38.8, 356.7
-96.498331000, 41.167027000, 32.9, 57.6, 356.7
-96.498332000, 41.166985000, 30.5, 51.2, 356.7
-96.498334000, 41.166943000, 28.5, 41.9, 356.7
-96.498335000, 41.166901000, 29.3, 42.0, 356.7
-96.498336000, 41.166859000, 33.3, 48.9, 356.7
-96.498337000, 41.166818000, 32.3, 49.1, 356.7
-96.498339000, 41.166776000, 27.2, 41.6, 356.7
-96.498340000, 41.166734000, 31.3, 48.2, 356.7
-96.498340000, 41.166693000, 33.3, 47.5, 356.7
-96.498340000, 41.166650000, 31.4, 43.6, 356.8
-96.498341000, 41.166608000, 27.9, 44.5, 356.8
-96.498342000, 41.166566000, 29.5, 43.8, 356.8
-96.498343000, 41.166523000, 31.3, 52.8, 356.8
-96.498343000, 41.166480000, 28.3, 44.4, 356.8
-96.498344000, 41.166438000, 33.1, 48.7, 356.8
-96.498344000, 41.166395000, 30.8, 46.7, 356.8
-96.498345000, 41.166352000, 33.5, 44.3, 356.8
-96.498346000, 41.166309000, 32.6, 52.5, 356.8
-96.498347000, 41.166267000, 34.2, 55.2, 356.8
-96.498348000, 41.166225000, 35.4, 58.0, 356.8
-96.498348000, 41.166182000, 37.2, 56.9, 356.8
-96.498348000, 41.166140000, 41.5, 60.3, 356.8
-96.498348000, 41.166097000, 31.7, 45.9, 356.8
-96.498349000, 41.166055000, 32.5, 48.0, 356.8
-96.498349000, 41.166013000, 30.7, 48.0, 356.8
-96.498349000, 41.165970000, 25.3, 37.8, 356.8
-96.498349000, 41.165926000, 28.8, 44.4, 356.8
-96.498349000, 41.165883000, 25.9, 40.3, 356.8
-96.498349000, 41.165841000, 27.1, 40.4, 356.8
-96.498349000, 41.165799000, 22.5, 35.4, 356.8
-96.498349000, 41.165756000, 21.7, 34.4, 356.8
-96.498349000, 41.165714000, 22.1, 34.2, 356.8
-96.498349000, 41.165671000, 22.4, 30.5, 356.8
-96.498350000, 41.165629000, 22.8, 27.0, 356.8
-96.498352000, 41.165587000, 19.8, 24.6, 356.8
-96.498354000, 41.165545000, 18.5, 21.9, 356.8
-96.498354000, 41.165502000, 17.2, 21.1, 356.8
-96.498355000, 41.165460000, 15.5, 17.9, 356.8
-96.498355000, 41.165418000, 14.3, 17.7, 356.8
-96.498355000, 41.165375000, 17.1, 18.6, 356.8
-96.498355000, 41.165334000, 18.8, 22.1, 356.8
-96.498355000, 41.165291000, 16.8, 21.0, 356.8
-96.498356000, 41.165249000, 16.4, 18.9, 356.8
-96.498357000, 41.165207000, 17.8, 17.4, 356.8
-96.498359000, 41.165169000, 17.6, 14.2, 356.8
-96.498359000, 41.165137000, 14.2, 11.7, 356.8
-96.498359000, 41.165111000, 14.1, 12.6, 356.8
-96.498360000, 41.165086000, 15.6, 14.1, 356.8
-96.498359000, 41.165064000, 12.2, 11.0, 356.8
-96.498358000, 41.165045000, 12.9, 12.0, 356.8
-96.498352000, 41.165029000, 13.2, 12.1, 356.8
-96.498340000, 41.165015000, 10.2, 11.1, 356.8
-96.498325000, 41.165005000, 8.3, 9.0, 356.8
-96.498306000, 41.165000000, 9.3, 9.0, 356.8
-96.498287000, 41.164999000, 7.1, 10.3, 356.8
-96.498269000, 41.164997000, 6.1, 10.4, 356.8
-96.498253000, 41.164998000, 6.6, 11.2, 356.8
-96.498238000, 41.165003000, 9.9, 11.6, 356.8
-96.498227000, 41.165012000, 12.6, 12.8, 356.8
-96.498222000, 41.165022000, 13.5, 12.6, 356.8
-96.498223000, 41.165029000, 13.2, 12.5, 356.8
-96.498226000, 41.165040000, 11.2, 12.3, 356.8
-96.498226000, 41.165061000, 11.9, 10.7, 356.8
-96.498227000, 41.165092000, 12.2, 10.1, 356.8
-96.498228000, 41.165131000, 11.8, 11.6, 356.8
-96.498229000, 41.165173000, 13.3, 12.6, 356.8
-96.498229000, 41.165216000, 14.8, 15.2, 356.8
-96.498228000, 41.165257000, 17.5, 19.8, 356.8
-96.498227000, 41.165299000, 16.5, 18.4, 356.8
-96.498227000, 41.165341000, 18.1, 19.7, 356.8
-96.498226000, 41.165383000, 17.8, 21.2, 356.8
-96.498226000, 41.165427000, 17.8, 20.9, 356.8
-96.498227000, 41.165471000, 18.2, 21.4, 356.8
-96.498227000, 41.165514000, 19.0, 22.9, 356.8
-96.498225000, 41.165558000, 20.7, 24.9, 356.8
-96.498224000, 41.165601000, 23.6, 32.4, 356.8
-96.498224000, 41.165644000, 27.6, 41.2, 356.8
-96.498225000, 41.165687000, 33.9, 58.6, 356.8
-96.498225000, 41.165731000, 45.0, 69.4, 356.8
-96.498224000, 41.165775000, 46.6, 67.6, 356.8
-96.498223000, 41.165819000, 44.2, 66.2, 356.8
-96.498223000, 41.165863000, 44.9, 65.8, 356.8
-96.498224000, 41.165906000, 42.0, 61.5, 356.8
-96.498224000, 41.165950000, 42.7, 79.3, 356.8
-96.498224000, 41.165994000, 37.0, 71.5, 356.8
-96.498223000, 41.166038000, 45.7, 66.6, 356.8
-96.498222000, 41.166081000, 38.2, 54.3, 356.8
-96.498221000, 41.166125000, 37.3, 48.9, 356.8
-96.498221000, 41.166169000, 34.2, 43.7, 356.8
-96.498222000, 41.166213000, 35.6, 43.6, 356.8
-96.498222000, 41.166256000, 33.8, 44.6, 356.8
-96.498222000, 41.166300000, 33.9, 43.0, 356.8
-96.498220000, 41.166344000, 33.5, 49.4, 356.8
-96.498219000, 41.166388000, 31.4, 43.6, 356.8
-96.498217000, 41.166432000, 24.0, 37.7, 356.8
-96.498216000, 41.166475000, 21.0, 30.6, 356.8
-96.498215000, 41.166519000, 21.1, 30.1, 356.8
-96.498214000, 41.166564000, 23.6, 32.7, 356.8
-96.498212000, 41.166609000, 24.2, 35.0, 356.8
-96.498211000, 41.166653000, 26.4, 41.6, 356.8
-96.498208000, 41.166697000, 29.2, 40.7, 356.7
-96.498206000, 41.166741000, 28.4, 39.9, 356.7
-96.498204000, 41.166786000, 29.6, 43.9, 356.7
-96.498204000, 41.166830000, 32.6, 47.8, 356.7
-96.498203000, 41.166874000, 23.7, 28.8, 356.7
-96.498203000, 41.166919000, 19.9, 21.8, 356.7
-96.498201000, 41.166963000, 20.3, 20.1, 356.7
-96.498201000, 41.167007000, 17.8, 16.1, 356.7
-96.498201000, 41.167051000, 16.8, 15.2, 356.7
-96.498201000, 41.167096000, 17.6, 16.0, 356.7
-96.498200000, 41.167140000, 20.2, 17.2, 356.7
-96.498199000, 41.167184000, 18.0, 17.3, 356.7
-96.498198000, 41.167229000, 17.2, 15.0, 356.7
-96.498197000, 41.167273000, 16.4, 12.3, 356.7
-96.498198000, 41.167317000, 16.5, 12.2, 356.7
-96.498198000, 41.167361000, 16.6, 12.1, 356.7
-96.498198000, 41.167405000, 15.1, 10.6, 356.7
-96.498197000, 41.167449000, 13.3, 10.2, 356.7
-96.498196000, 41.167493000, 12.1, 9.9, 356.7
-96.498196000, 41.167537000, 12.8, 10.0, 356.7
-96.498196000, 41.167580000, 13.6, 11.0, 356.7
-96.498196000, 41.167625000, 15.1, 12.3, 356.7
-96.498196000, 41.167670000, 15.4, 11.3, 356.7
-96.498195000, 41.167714000, 15.5, 10.3, 356.7
-96.498195000, 41.167758000, 15.3, 11.0, 356.7
-96.498194000, 41.167802000, 16.8, 12.3, 356.7
-96.498193000, 41.167846000, 18.1, 13.7, 356.7
-96.498193000, 41.167890000, 20.0, 13.7, 356.7
-96.498192000, 41.167934000, 18.0, 12.3, 356.7
-96.498190000, 41.167978000, 15.9, 11.4, 356.7
-96.498190000, 41.168022000, 15.7, 11.2, 356.7
-96.498190000, 41.168066000, 18.0, 11.7, 356.7
-96.498190000, 41.168110000, 18.8, 12.2, 356.7
-96.498190000, 41.168153000, 20.5, 13.8, 356.7
-96.498189000, 41.168192000, 18.0, 13.4, 356.7
-96.498189000, 41.168224000, 16.7, 13.7, 356.7
-96.498189000, 41.168248000, 18.7, 15.6, 356.7
-96.498189000, 41.168269000, 19.6, 16.9, 356.7
-96.498189000, 41.168288000, 19.8, 18.0, 356.7
-96.498184000, 41.168305000, 20.4, 18.9, 356.7
-96.498171000, 41.168321000, 20.7, 18.8, 356.7
-96.498152000, 41.168329000, 19.8, 21.1, 356.7
-96.498131000, 41.168330000, 11.1, 17.7, 356.7
-96.498110000, 41.168326000, 11.1, 14.6, 356.7
-96.498091000, 41.168317000, 10.9, 17.0, 356.7
-96.498078000, 41.168304000, 12.7, 13.5, 356.7
-96.498068000, 41.168286000, 8.8, 14.7, 356.7
-96.498062000, 41.168262000, 8.9, 16.0, 356.7
-96.498062000, 41.168234000, 19.3, 15.2, 356.7
-96.498062000, 41.168202000, 19.2, 16.4, 356.7
-96.498062000, 41.168166000, 15.7, 14.9, 356.7
-96.498056000, 41.168127000, 13.2, 12.8, 356.7
-96.498050000, 41.168085000, 11.5, 12.0, 356.7
-96.498050000, 41.168043000, 10.6, 10.7, 356.7
-96.498051000, 41.168000000, 11.5, 9.7, 356.7
-96.498051000, 41.167956000, 12.3, 10.2, 356.7
-96.498057000, 41.167912000, 13.9, 10.4, 356.7
-96.498063000, 41.167869000, 15.2, 11.2, 356.7
-96.498063000, 41.167827000, 15.9, 11.8, 356.7
-96.498063000, 41.167784000, 13.5, 12.8, 356.7
-96.498064000, 41.167741000, 10.0, 10.5, 356.7
-96.498064000, 41.167698000, 9.5, 11.4, 356.7
-96.498065000, 41.167656000, 9.5, 10.5, 356.7
-96.498066000, 41.167613000, 9.7, 11.2, 356.7
-96.498065000, 41.167569000, 9.1, 10.6, 356.7
-96.498065000, 41.167525000, 9.5, 10.7, 356.7
-96.498065000, 41.167482000, 10.2, 10.2, 356.7
-96.498065000, 41.167439000, 10.4, 9.8, 356.7
-96.498066000, 41.167396000, 10.0, 9.5, 356.7
-96.498066000, 41.167353000, 10.1, 9.8, 356.7
-96.498066000, 41.167310000, 10.3, 10.0, 356.7
-96.498065000, 41.167267000, 10.4, 9.6, 356.7
-96.498066000, 41.167224000, 10.3, 10.7, 356.7
-96.498068000, 41.167180000, 12.2, 11.0, 356.7
-96.498070000, 41.167137000, 12.0, 11.8, 356.7
-96.498071000, 41.167095000, 14.2, 15.9, 356.7
-96.498071000, 41.167052000, 16.7, 17.1, 356.7
-96.498071000, 41.167009000, 14.9, 15.3, 356.7
-96.498072000, 41.166967000, 13.1, 14.9, 356.7
-96.498073000, 41.166924000, 14.1, 16.4, 356.7
-96.498074000, 41.166882000, 16.7, 19.2, 356.7
-96.498074000, 41.166839000, 22.0, 26.5, 356.7
-96.498075000, 41.166797000, 25.1, 37.3, 356.7
-96.498076000, 41.166755000, 20.6, 40.4, 356.7
-96.498076000, 41.166713000, 19.6, 40.0, 356.7
-96.498078000, 41.166670000, 18.7, 38.1, 356.7
-96.498079000, 41.166628000, 16.6, 35.6, 356.8
-96.498080000, 41.166585000, 18.7, 29.8, 356.8
-96.498081000, 41.166542000, 16.7, 26.5, 356.8
-96.498083000, 41.166499000, 14.4, 24.4, 356.8
-96.498084000, 41.166456000, 13.9, 24.9, 356.8
-96.498085000, 41.166414000, 14.9, 25.0, 356.8
-96.498086000, 41.166371000, 14.1, 26.3, 356.8
-96.498087000, 41.166328000, 18.2, 29.7, 356.8
-96.498087000, 41.166285000, 20.3, 41.8, 356.8
-96.498088000, 41.166242000, 23.7, 40.0, 356.8
-96.498089000, 41.166199000, 19.9, 41.0, 356.8
-96.498091000, 41.166156000, 19.6, 36.7, 356.8
-96.498090000, 41.166113000, 20.7, 38.9, 356.8
-96.498090000, 41.166069000, 26.8, 41.8, 356.8
-96.498090000, 41.166026000, 23.8, 43.2, 356.8
-96.498089000, 41.165983000, 26.9, 45.8, 356.8
-96.498090000, 41.165940000, 32.3, 49.3, 356.8
-96.498091000, 41.165897000, 27.0, 42.1, 356.8
41.165853000, -96.498092000, 356.8, 28.3, -25.0
41.165809000, -96.498092000, 356.8, 31.0, -25.0
-96.498093000, 41.165765000, 31.9, 46.5, 356.8
-96.498094000, 41.165722000, 30.5, 57.1, 356.8
-96.498096000, 41.165680000, 28.8, 57.2, 356.8
-96.498096000, 41.165637000, 31.5, 65.3, 356.8
-96.498096000, 41.165593000, 17.4, 30.8, 356.8
-96.498096000, 41.165550000, 14.6, 24.8, 356.8
